"cont_id","cnt_relation","cnt_hospital"
"1296_1",1,FALSE
"1296_2",1,FALSE
"1297_1",1,FALSE
"1297_2",1,FALSE
"1298_1",1,FALSE
"1298_2",1,FALSE
"1299_1",1,FALSE
"1299_2",1,FALSE
"1300_1",1,FALSE
"1300_2",1,FALSE
"1301_1",1,FALSE
"1301_2",1,FALSE
"1302_1",1,FALSE
"1302_2",1,FALSE
"1303_1",1,FALSE
"1303_2",1,FALSE
"1303_3",1,FALSE
"1303_4",1,FALSE
"1304_1",1,FALSE
"1304_2",1,FALSE
"1306_1",1,FALSE
"1306_2",1,FALSE
"1306_3",1,FALSE
"1306_4",1,FALSE
"1307_1",1,FALSE
"1307_2",1,FALSE
"1308_1",1,FALSE
"1308_2",1,FALSE
"1309_1",1,FALSE
"1310_1",1,FALSE
"1310_2",1,FALSE
"1310_3",1,FALSE
"1311_1",1,FALSE
"1311_2",1,FALSE
"1312_1",1,FALSE
"1313_1",1,FALSE
"1313_2",1,FALSE
"1314_1",1,FALSE
"1314_2",1,FALSE
"1315_1",1,FALSE
"1315_2",1,FALSE
"1315_3",1,FALSE
"1316_1",1,FALSE
"1316_2",1,FALSE
"1316_3",1,FALSE
"1316_4",1,FALSE
"1316_5",1,FALSE
"1316_6",1,FALSE
"1317_1",1,FALSE
"1317_2",1,FALSE
"1318_1",1,FALSE
"1318_2",1,FALSE
"1319_1",1,FALSE
"1319_2",1,FALSE
"1320_1",1,FALSE
"1321_1",1,FALSE
"1322_1",1,FALSE
"1322_2",1,FALSE
"1323_1",1,FALSE
"1323_2",1,FALSE
"1324_1",1,FALSE
"1324_2",1,FALSE
"1325_1",1,FALSE
"1325_2",1,FALSE
"1326_1",1,FALSE
"1326_2",1,FALSE
"1327_1",1,FALSE
"1327_2",1,FALSE
"1327_3",1,FALSE
"1327_4",1,FALSE
"1328_1",1,FALSE
"1328_2",1,FALSE
"1329_1",1,FALSE
"1329_2",1,FALSE
"1330_1",1,FALSE
"1330_2",1,FALSE
"1330_3",1,FALSE
"1330_4",1,FALSE
"1331_1",1,FALSE
"1331_2",1,FALSE
"1331_3",1,FALSE
"1331_4",1,FALSE
"1332_1",1,FALSE
"1333_1",1,FALSE
"1333_2",1,FALSE
"1333_3",1,FALSE
"1334_1",1,FALSE
"1334_2",1,FALSE
"1334_3",1,FALSE
"1334_4",3,FALSE
"1335_1",1,FALSE
"1335_2",1,FALSE
"1336_1",1,FALSE
"1337_1",1,FALSE
"1337_2",1,FALSE
"1338_1",1,FALSE
"1338_2",1,FALSE
"1339_1",1,FALSE
"1340_1",1,FALSE
"1341_1",1,FALSE
"1341_2",1,FALSE
"1342_1",1,FALSE
"1343_1",1,FALSE
"1343_2",1,FALSE
"1343_3",1,FALSE
"1345_1",1,FALSE
"1345_2",1,FALSE
"1346_1",1,FALSE
"1346_2",1,FALSE
"1346_3",3,TRUE
"1346_4",3,TRUE
"1346_5",3,TRUE
"1346_6",3,TRUE
"1346_7",3,TRUE
"1347_1",1,FALSE
"1347_2",1,FALSE
"1348_1",NA,FALSE
"1349_1",1,FALSE
"1349_2",1,FALSE
"1349_3",1,FALSE
"1350_1",1,FALSE
"1350_2",1,FALSE
"1351_1",1,FALSE
"1351_2",1,FALSE
"1352_1",1,FALSE
"1352_2",1,FALSE
"1353_1",1,FALSE
"1353_2",1,FALSE
"1354_1",1,FALSE
"1354_2",1,FALSE
"1355_1",1,FALSE
"1355_2",1,FALSE
"1356_1",1,FALSE
"1356_2",1,FALSE
"1357_1",1,FALSE
"1357_2",1,FALSE
"1358_1",1,FALSE
"1358_2",1,FALSE
"1359_1",1,FALSE
"1360_1",1,FALSE
"1360_2",1,FALSE
"1361_1",1,FALSE
"1361_2",1,FALSE
"1361_3",1,FALSE
"1361_4",1,FALSE
"1361_5",1,FALSE
"1361_6",1,FALSE
"1361_7",1,FALSE
"1362_1",1,FALSE
"1362_2",1,FALSE
"1362_3",1,FALSE
"1362_4",1,FALSE
"1363_1",1,FALSE
"1364_1",1,FALSE
"1365_1",3,FALSE
"1366_1",1,FALSE
"1366_2",1,FALSE
"1367_1",1,FALSE
"1367_2",1,FALSE
"1367_3",1,FALSE
"1367_4",1,FALSE
"1368_1",1,FALSE
"1368_2",1,FALSE
"1369_1",1,FALSE
"1369_2",1,FALSE
"1370_1",1,FALSE
"1370_2",1,FALSE
"1371_1",1,FALSE
"1371_2",1,FALSE
"1371_3",1,FALSE
"1372_1",1,FALSE
"1372_2",1,FALSE
"1373_1",1,FALSE
"1373_2",1,FALSE
"1374_1",1,FALSE
"1374_2",1,FALSE
"1374_3",1,FALSE
"1374_4",1,FALSE
"1375_1",1,FALSE
"1375_2",1,FALSE
"1376_1",1,FALSE
"1377_1",1,FALSE
"1378_1",1,FALSE
"1378_2",1,FALSE
"1379_1",1,FALSE
"1379_2",1,FALSE
"1380_1",1,FALSE
"1380_2",1,FALSE
"1380_3",1,FALSE
"1380_4",1,FALSE
"1381_1",1,FALSE
"1381_2",1,FALSE
"1381_3",1,FALSE
"1381_4",1,FALSE
"1382_1",1,FALSE
"1382_2",1,FALSE
"1383_1",1,FALSE
"1383_2",1,FALSE
"1384_1",1,FALSE
"1384_2",1,FALSE
"1384_3",1,FALSE
"1385_1",1,FALSE
"1385_2",1,FALSE
"1385_3",1,FALSE
"1386_1",1,FALSE
"1386_2",1,FALSE
"1386_3",1,FALSE
"1387_1",1,FALSE
"1387_2",1,FALSE
"1387_3",1,FALSE
"1387_4",1,FALSE
"1388_1",1,FALSE
"1388_2",1,FALSE
"1389_1",1,FALSE
"1389_2",1,FALSE
"1390_1",1,FALSE
"1390_2",1,FALSE
"1390_3",1,FALSE
"1391_1",1,FALSE
"1392_1",1,FALSE
"1392_2",1,FALSE
"1392_3",1,FALSE
"1392_4",1,FALSE
"1393_1",1,FALSE
"1393_2",1,FALSE
"1394_1",1,FALSE
"1394_2",1,FALSE
"1395_1",1,FALSE
"1396_1",1,FALSE
"1397_1",1,FALSE
"1397_2",1,FALSE
"1399_1",1,FALSE
"1399_2",1,FALSE
"1399_3",1,FALSE
"1399_4",1,FALSE
"1400_1",1,FALSE
"1400_2",1,FALSE
"1401_1",1,FALSE
"1401_2",1,FALSE
"1402_1",1,FALSE
"1402_2",1,FALSE
"1403_1",1,FALSE
"1403_2",1,FALSE
"1404_1",1,FALSE
"1404_2",1,FALSE
"1405_1",1,FALSE
"1405_2",1,FALSE
"1406_1",1,FALSE
"1406_2",1,FALSE
"1406_3",3,FALSE
"1407_1",1,FALSE
"1407_2",1,FALSE
"1407_3",1,FALSE
"1407_4",2,FALSE
"1408_1",1,FALSE
"1408_2",1,FALSE
"1409_1",2,FALSE
"1410_1",1,FALSE
"1411_1",1,FALSE
"1411_2",1,FALSE
"1412_1",1,FALSE
"1412_2",1,FALSE
"1412_3",3,FALSE
"1412_4",3,FALSE
"1412_5",3,FALSE
"1414_1",1,FALSE
"1414_2",1,FALSE
"1415_1",1,FALSE
"1416_1",1,FALSE
"1416_2",1,FALSE
"1417_1",1,FALSE
"1417_2",1,FALSE
"1417_3",1,FALSE
"1418_1",3,FALSE
"1418_2",3,FALSE
"1419_1",1,FALSE
"1419_2",1,FALSE
"1420_1",2,FALSE
"1420_2",2,FALSE
"1420_3",2,FALSE
"1420_4",2,FALSE
"1420_5",2,FALSE
"1420_6",2,FALSE
"1420_7",2,FALSE
"1420_8",2,FALSE
"1420_9",2,FALSE
"1420_10",2,FALSE
"1420_11",2,FALSE
"1420_12",2,FALSE
"1420_13",2,FALSE
"1420_14",2,FALSE
"1420_15",2,FALSE
"1420_16",2,FALSE
"1421_1",1,FALSE
"1421_2",1,FALSE
"1421_3",1,FALSE
"1422_1",1,FALSE
"1422_2",1,FALSE
"1424_1",1,FALSE
"1425_1",1,FALSE
"1425_2",1,FALSE
"1425_3",1,FALSE
"1426_1",1,FALSE
"1426_2",1,FALSE
"1426_3",1,FALSE
"1426_4",1,FALSE
"1426_5",1,FALSE
"1427_1",1,FALSE
"1427_2",1,FALSE
"1428_1",1,FALSE
"1428_2",1,FALSE
"1428_3",1,FALSE
"1429_1",1,FALSE
"1429_2",1,FALSE
"1429_3",1,FALSE
"1429_4",1,FALSE
"1430_1",1,FALSE
"1430_2",1,FALSE
"1430_3",1,FALSE
"1431_1",1,FALSE
"1431_2",1,FALSE
"1432_1",1,FALSE
"1432_2",1,FALSE
"1433_1",1,FALSE
"1433_2",1,FALSE
"1433_3",1,FALSE
"1434_1",1,FALSE
"1434_2",1,FALSE
"1435_1",1,FALSE
"1435_2",1,FALSE
"1437_1",1,FALSE
"1437_2",1,FALSE
"1437_3",1,FALSE
"1438_1",1,FALSE
"1438_2",1,FALSE
"1439_1",1,FALSE
"1439_2",1,FALSE
"1440_1",1,FALSE
"1440_2",1,FALSE
"1441_1",1,FALSE
"1441_2",1,FALSE
"1442_1",1,FALSE
"1442_2",1,FALSE
"1443_1",1,FALSE
"1443_2",1,FALSE
"1444_1",1,FALSE
"1444_2",1,FALSE
"1445_1",1,FALSE
"1445_2",1,FALSE
"1446_1",1,FALSE
"1446_2",1,FALSE
"1447_1",1,FALSE
"1447_2",1,FALSE
"1448_1",1,FALSE
"1448_2",1,FALSE
"1449_1",1,FALSE
"1449_2",1,FALSE
"1449_3",1,FALSE
"1450_1",1,FALSE
"1450_2",1,FALSE
"1451_1",1,FALSE
"1451_2",1,FALSE
"1452_1",1,FALSE
"1453_1",1,FALSE
"1453_2",1,FALSE
"1454_1",1,FALSE
"1454_2",1,FALSE
"1455_1",1,FALSE
"1455_2",1,FALSE
"1456_1",1,FALSE
"1456_2",2,FALSE
"1457_1",1,FALSE
"1457_2",1,FALSE
"1461_1",3,FALSE
"1461_2",3,FALSE
"1461_3",1,FALSE
"1461_4",1,FALSE
"1463_1",1,FALSE
"1463_2",1,FALSE
"1464_1",1,FALSE
"1464_2",1,FALSE
"1465_1",1,FALSE
"1465_2",1,FALSE
"1468_1",1,FALSE
"1468_2",1,FALSE
"1469_1",1,FALSE
"1470_1",1,FALSE
"1471_1",1,FALSE
"1471_2",1,FALSE
"1472_1",3,FALSE
"1473_1",1,FALSE
"1473_2",1,FALSE
"1473_3",1,FALSE
"1474_1",1,FALSE
"1475_1",3,FALSE
"1475_2",3,FALSE
"1476_1",1,FALSE
"1476_2",1,FALSE
"1478_1",3,FALSE
"1479_1",1,FALSE
"1479_2",1,FALSE
"1479_3",2,FALSE
"1480_1",1,FALSE
"1480_2",1,FALSE
"1482_1",1,FALSE
"1482_2",1,FALSE
"1482_3",1,FALSE
"1483_1",1,FALSE
"1483_2",1,FALSE
"1483_3",1,FALSE
"1484_1",1,FALSE
"1484_2",1,FALSE
"1485_1",1,FALSE
"1485_2",1,FALSE
"1485_3",1,FALSE
"1486_1",1,FALSE
"1486_2",1,FALSE
"1487_1",1,FALSE
"1488_1",1,FALSE
"1488_2",1,FALSE
"1488_3",3,FALSE
"1489_1",1,FALSE
"1490_1",1,FALSE
"1490_2",1,FALSE
"1491_1",1,FALSE
"1491_2",1,FALSE
"1491_3",1,FALSE
"1493_1",1,FALSE
"1493_2",1,FALSE
"1494_1",1,FALSE
"1494_2",1,FALSE
"1495_1",1,FALSE
"1496_1",1,FALSE
"1496_2",1,FALSE
"1499_1",1,FALSE
"1499_2",1,FALSE
"1500_1",1,FALSE
"1500_2",1,FALSE
"1501_1",3,FALSE
"1501_2",3,FALSE
"1502_1",1,FALSE
