"part_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
1005,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,12,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,16,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,62,61,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,12,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,16,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,37,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,19,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,37,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,37,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,37,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,19,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,19,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,47,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,42,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,47,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,47,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,52,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,80,61,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,62,61,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,80,61,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,62,61,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,62,61,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
