"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
1047,"1047_1",26,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1047,"1047_2",21,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1048,"1048_1",45,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1048,"1048_2",71,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1049,"1049_1",55,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1049,"1049_2",38,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1049,"1049_3",30,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1049,"1049_4",9,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1050,"1050_1",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1050,"1050_2",16,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1050,"1050_3",85,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1050,"1050_4",82,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1051,"1051_1",42,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1051,"1051_2",17,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1052,"1052_1",44,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1052,"1052_2",20,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1053,"1053_1",50,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1053,"1053_2",50,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1054,"1054_1",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1055,"1055_1",49,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1055,"1055_2",63,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1055,"1055_3",22,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1055,"1055_4",49,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1055,"1055_5",40,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1056,"1056_1",50,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1057,"1057_1",19,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1057,"1057_2",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1058,"1058_1",42,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1058,"1058_2",13,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1059,"1059_1",56,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1059,"1059_2",4,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1059,"1059_3",30,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1059,"1059_4",37,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1060,"1060_1",38,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1060,"1060_2",10,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1061,"1061_1",6,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1061,"1061_2",38,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1062,"1062_1",52,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1062,"1062_2",50,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1063,"1063_1",47,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1064,"1064_1",56,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1064,"1064_2",22,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1066,"1066_1",3,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1067,"1067_1",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1069,"1069_1",35,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1071,"1071_1",29,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1072,"1072_1",65,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1072,"1072_2",11,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1072,"1072_3",39,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1072,"1072_4",42,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1073,"1073_1",40,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1074,"1074_1",46,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1075,"1075_1",32,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1075,"1075_2",6,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1076,"1076_1",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1077,"1077_1",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1079,"1079_1",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1079,"1079_2",65,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1080,"1080_1",62,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1080,"1080_2",60,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1080,"1080_3",43,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1080,"1080_4",16,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1081,"1081_1",7,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1081,"1081_2",NA,0,90,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1082,"1082_1",36,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1083,"1083_1",3,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1083,"1083_2",32,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1084,"1084_1",65,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1085,"1085_1",70,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1087,"1087_1",42,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1087,"1087_2",7,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1087,"1087_3",80,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1087,"1087_4",78,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1088,"1088_1",36,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1088,"1088_2",10,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1089,"1089_1",6,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1089,"1089_2",59,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1089,"1089_3",10,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1089,"1089_4",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1090,"1090_1",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1090,"1090_2",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1091,"1091_1",49,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1091,"1091_2",10,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1092,"1092_1",47,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1093,"1093_1",9,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1093,"1093_2",68,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1093,"1093_3",33,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1094,"1094_1",46,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1094,"1094_2",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1095,"1095_1",36,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1096,"1096_1",41,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1096,"1096_2",8,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1097,"1097_1",35,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1097,"1097_2",6,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1098,"1098_1",56,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1099,"1099_1",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1100,"1100_1",12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1100,"1100_2",38,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1100,"1100_3",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1101,"1101_1",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1101,"1101_2",18,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1102,"1102_1",50,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1102,"1102_2",48,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1103,"1103_1",6,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1103,"1103_2",38,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1103,"1103_3",65,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1105,"1105_1",6,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1105,"1105_2",34,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1106,"1106_1",50,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1106,"1106_2",28,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1107,"1107_1",39,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1107,"1107_2",13,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1107,"1107_3",3,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1108,"1108_1",45,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1108,"1108_2",18,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1109,"1109_1",50,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1109,"1109_2",75,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1110,"1110_1",18,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1111,"1111_1",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1111,"1111_2",10,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1112,"1112_1",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1112,"1112_2",36,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1112,"1112_3",3,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1113,"1113_1",39,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1114,"1114_1",53,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1114,"1114_2",53,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1115,"1115_1",58,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1116,"1116_1",53,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1116,"1116_2",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1116,"1116_3",86,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1116,"1116_4",23,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1116,"1116_5",73,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1116,"1116_6",76,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1116,"1116_7",45,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,1,NA
1117,"1117_1",30,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1117,"1117_2",7,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1118,"1118_1",78,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1118,"1118_2",53,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1118,"1118_3",21,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1119,"1119_1",49,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1121,"1121_1",52,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1121,"1121_2",20,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1122,"1122_1",31,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1122,"1122_2",7,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1122,"1122_3",63,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1122,"1122_4",65,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1123,"1123_1",50,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1123,"1123_2",20,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
