Country,Week,Setting,Variable,Category,Mean,SE,Q25,Q50,Q75
DE,W14,2-Home,HH size,5p,3.430561723,0.160630119,3,4,4
DE,W14,2-Home,HH size,6p+,2.876358174,0.334661029,3,3,4
DE,W13,3-School,Sex,Females,0,0,0,0,0
DE,W13,3-School,Sex,Males,0,0,0,0,0
DE,W14,3-School,Sex,Females,0,0,0,0,0
DE,W14,3-School,Sex,Males,0,0,0,0,0
DE,W13,3-School,Age group,18-29y,0,0,0,0,0
DE,W13,3-School,Age group,30-39y,0,0,0,0,0
DE,W13,3-School,Age group,40-49y,0,0,0,0,0
DE,W13,3-School,Age group,50-59y,0,0,0,0,0
DE,W13,3-School,Age group,60y+,0,0,0,0,0
DE,W14,3-School,Age group,18-29y,0,0,0,0,0
DE,W14,3-School,Age group,30-39y,0,0,0,0,0
DE,W14,3-School,Age group,40-49y,0,0,0,0,0
DE,W14,3-School,Age group,50-59y,0,0,0,0,0
DE,W14,3-School,Age group,60y+,0,0,0,0,0
DE,W13,3-School,HH size,1p,0,0,0,0,0
DE,W13,3-School,HH size,2p,0,0,0,0,0
DE,W13,3-School,HH size,3p,0,0,0,0,0
DE,W13,3-School,HH size,4p,0,0,0,0,0
DE,W13,3-School,HH size,5p,0,0,0,0,0
DE,W13,3-School,HH size,6p+,0,0,0,0,0
DE,W14,3-School,HH size,1p,0,0,0,0,0
DE,W14,3-School,HH size,2p,0,0,0,0,0
DE,W14,3-School,HH size,3p,0,0,0,0,0
DE,W14,3-School,HH size,4p,0,0,0,0,0
DE,W14,3-School,HH size,5p,0,0,0,0,0
DE,W14,3-School,HH size,6p+,0,0,0,0,0
DE,W13,4-Work,Sex,Females,1.120258367,0.123193516,0,0,0
DE,W13,4-Work,Sex,Males,1.743076557,0.1666155,0,0,0
DE,W14,4-Work,Sex,Females,1.541961891,0.105195368,0,0,0
DE,W14,4-Work,Sex,Males,2.328169988,0.179457251,0,0,2
DE,W13,4-Work,Age group,18-29y,1.607884605,0.276149923,0,0,0
DE,W13,4-Work,Age group,30-39y,1.95913487,0.314965189,0,0,0
DE,W13,4-Work,Age group,40-49y,2.437648077,0.322327155,0,0,3
DE,W13,4-Work,Age group,50-59y,2.114706326,0.282491951,0,0,1
DE,W13,4-Work,Age group,60y+,0.468622737,0.104296485,0,0,0
DE,W14,4-Work,Age group,18-29y,2.457212904,0.232242963,0,0,2
DE,W14,4-Work,Age group,30-39y,3.086728355,0.270851601,0,0,5
DE,W14,4-Work,Age group,40-49y,2.422147529,0.28702952,0,0,3
DE,W14,4-Work,Age group,50-59y,2.080316605,0.26588008,0,0,2
DE,W14,4-Work,Age group,60y+,0.526172864,0.099375911,0,0,0
DE,W13,4-Work,HH size,1p,1.045339213,0.157146488,0,0,0
DE,W13,4-Work,HH size,2p,1.305098515,0.148485535,0,0,0
DE,W13,4-Work,HH size,3p,2.448250542,0.400927354,0,0,1
DE,W13,4-Work,HH size,4p,1.87040349,0.339448404,0,0,0
DE,W13,4-Work,HH size,5p,0.644567845,0.295743852,0,0,0
DE,W13,4-Work,HH size,6p+,0.991857818,0.756629128,0,0,0
DE,W14,4-Work,HH size,1p,1.558767033,0.1729487,0,0,0
DE,W14,4-Work,HH size,2p,1.731966164,0.149457709,0,0,0
DE,W14,4-Work,HH size,3p,2.287677218,0.272541706,0,0,1
DE,W14,4-Work,HH size,4p,2.412039269,0.337866198,0,0,1
DE,W14,4-Work,HH size,5p,1.288334613,0.38258103,0,0,0
DE,W14,4-Work,HH size,6p+,3.621076425,1.080653819,0,0,4
DE,W13,5-Community,Sex,Females,1.001473382,0.058172691,0,0,2
DE,W13,5-Community,Sex,Males,1.125883495,0.067050244,0,0,2
DE,W14,5-Community,Sex,Females,1.020321801,0.046975294,0,0,2
DE,W14,5-Community,Sex,Males,1.200101223,0.063090763,0,0,2
DE,W13,5-Community,Age group,18-29y,0.815190916,0.087055837,0,0,1
DE,W13,5-Community,Age group,30-39y,0.961863736,0.098730558,0,0,1
DE,W13,5-Community,Age group,40-49y,1.108202848,0.103784031,0,0,2
DE,W13,5-Community,Age group,50-59y,1.292123774,0.109716647,0,0,2
DE,W13,5-Community,Age group,60y+,1.060185644,0.079230607,0,0,2
DE,W14,5-Community,Age group,18-29y,0.979049125,0.063945229,0,0,2
DE,W14,5-Community,Age group,30-39y,1.106074845,0.07679831,0,0,2
DE,W14,5-Community,Age group,40-49y,1.164911486,0.098764563,0,0,2
DE,W14,5-Community,Age group,50-59y,1.224218343,0.10683593,0,0,2
DE,W14,5-Community,Age group,60y+,1.10311345,0.080935725,0,0,2
DE,W13,5-Community,HH size,1p,1.066839972,0.085243031,0,0,2
DE,W13,5-Community,HH size,2p,1.047572917,0.066797582,0,0,2
DE,W13,5-Community,HH size,3p,1.122506671,0.13100807,0,0,2
DE,W13,5-Community,HH size,4p,1.018867688,0.121640803,0,0,2
DE,W13,5-Community,HH size,5p,1.01358529,0.237215158,0,0,2
DE,W13,5-Community,HH size,6p+,1.210251965,0.388292923,0,0,2
DE,W14,5-Community,HH size,1p,1.092047367,0.083980866,0,0,2
DE,W14,5-Community,HH size,2p,1.143819811,0.059925096,0,0,2
DE,W14,5-Community,HH size,3p,1.075059247,0.090872799,0,0,2
DE,W14,5-Community,HH size,4p,1.168217717,0.1135614,0,0,2
DE,W14,5-Community,HH size,5p,0.81542045,0.133250281,0,0,1
DE,W14,5-Community,HH size,6p+,1.098363335,0.273372664,0,0,2
ES,W13,1-Overall,Sex,Females,2.788148059,0.222494725,1,2,3
ES,W13,1-Overall,Sex,Males,2.652162628,0.275111766,1,2,3
ES,W14,1-Overall,Sex,Females,2.469102109,0.129846227,1,2,3
ES,W14,1-Overall,Sex,Males,2.819243089,0.295949098,1,2,3
ES,W13,1-Overall,Age group,18-29y,3.04275535,0.508916749,1,2,3
ES,W13,1-Overall,Age group,30-39y,2.788340217,0.606116498,1,1,3
ES,W13,1-Overall,Age group,40-49y,3.007077247,0.294893434,1,3,4
ES,W13,1-Overall,Age group,50-59y,3.383767586,0.401449268,1,2,4
ES,W13,1-Overall,Age group,60y+,1.92151228,0.192121801,1,1,2
ES,W14,1-Overall,Age group,18-29y,3.356113275,0.536281241,2,3,4
ES,W14,1-Overall,Age group,30-39y,3.067815226,0.404704787,1,2,3
ES,W14,1-Overall,Age group,40-49y,2.71907641,0.251937656,1,2,3.008106704
ES,W14,1-Overall,Age group,50-59y,3.302436438,0.384827342,1,2,4
ES,W14,1-Overall,Age group,60y+,1.6161653,0.124680753,0,1,2
ES,W13,1-Overall,HH size,1p,2.283133269,0.548356152,0,1,3
ES,W13,1-Overall,HH size,2p,2.071124794,0.249954279,1,1,2
ES,W13,1-Overall,HH size,3p,3.110019325,0.236132717,2,2,3
ES,W13,1-Overall,HH size,4p,3.918640731,0.547660996,3,3,4
ES,W13,1-Overall,HH size,5p,4.75542469,0.502329693,4,4,5
ES,W13,1-Overall,HH size,6p+,2.531557932,0.474098856,1,2,3
ES,W14,1-Overall,HH size,1p,1.104408018,0.189087467,0,0,1
ES,W14,1-Overall,HH size,2p,2.177242482,0.173132086,1,1,2
ES,W14,1-Overall,HH size,3p,3.564064724,0.461683468,2,2,3
ES,W14,1-Overall,HH size,4p,3.967339866,0.262501513,3,3,4
ES,W14,1-Overall,HH size,5p,4.306563031,0.544678917,3,4,4
ES,W14,1-Overall,HH size,6p+,2.967538297,0.456261872,2,3,3
ES,W13,2-Home,Sex,Females,1.606359449,0.068919591,1,1,3
ES,W13,2-Home,Sex,Males,1.468729366,0.099855523,1,1,2
ES,W14,2-Home,Sex,Females,1.607294039,0.061116948,1,1,2
ES,W14,2-Home,Sex,Males,1.622795438,0.103490639,1,1,3
ES,W13,2-Home,Age group,18-29y,1.907905424,0.16159283,1,2,3
ES,W13,2-Home,Age group,30-39y,1.216457003,0.129467451,0,1,2
ES,W13,2-Home,Age group,40-49y,1.838736012,0.139829075,1,2,3
ES,W13,2-Home,Age group,50-59y,1.661049489,0.131186216,1,1,3
ES,W13,2-Home,Age group,60y+,1.123851985,0.085531996,0.717483505,1,2
ES,W14,2-Home,Age group,18-29y,2.042637436,0.186108276,1,2,3
ES,W14,2-Home,Age group,30-39y,1.640208764,0.132076926,1,2,2.147878257
ES,W14,2-Home,Age group,40-49y,1.813316452,0.120378484,1,2,3
ES,W14,2-Home,Age group,50-59y,1.777378159,0.103189221,1,2,3
ES,W14,2-Home,Age group,60y+,1.130205652,0.077743035,0,1,2
ES,W13,2-Home,HH size,1p,0.311472529,0.078370591,0,0,0
ES,W13,2-Home,HH size,2p,1.119039403,0.040340031,1,1,1
ES,W13,2-Home,HH size,3p,2.043478199,0.058752549,2,2,2
ES,W13,2-Home,HH size,4p,2.730272149,0.194707354,3,3,3
ES,W13,2-Home,HH size,5p,3.649889228,0.195993082,4,4,4
ES,W13,2-Home,HH size,6p+,2.392262292,0.432235988,1,2,3
ES,W14,2-Home,HH size,1p,0.384945014,0.077275416,0,0,1
ES,W14,2-Home,HH size,2p,1.123687086,0.043333252,1,1,1
ES,W14,2-Home,HH size,3p,2.116101613,0.074562453,2,2,3
ES,W14,2-Home,HH size,4p,3.034628106,0.115265423,3,3,4
ES,W14,2-Home,HH size,5p,3.494370642,0.166369144,3,4,4
ES,W14,2-Home,HH size,6p+,2.967538297,0.456261872,2,3,3
ES,W13,3-School,Sex,Females,0,0,0,0,0
ES,W13,3-School,Sex,Males,0,0,0,0,0
ES,W14,3-School,Sex,Females,0,0,0,0,0
ES,W14,3-School,Sex,Males,0,0,0,0,0
ES,W13,3-School,Age group,18-29y,0,0,0,0,0
ES,W13,3-School,Age group,30-39y,0,0,0,0,0
ES,W13,3-School,Age group,40-49y,0,0,0,0,0
ES,W13,3-School,Age group,50-59y,0,0,0,0,0
ES,W13,3-School,Age group,60y+,0,0,0,0,0
ES,W14,3-School,Age group,18-29y,0,0,0,0,0
ES,W14,3-School,Age group,30-39y,0,0,0,0,0
ES,W14,3-School,Age group,40-49y,0,0,0,0,0
ES,W14,3-School,Age group,50-59y,0,0,0,0,0
ES,W14,3-School,Age group,60y+,0,0,0,0,0
ES,W13,3-School,HH size,1p,0,0,0,0,0
ES,W13,3-School,HH size,2p,0,0,0,0,0
ES,W13,3-School,HH size,3p,0,0,0,0,0
ES,W13,3-School,HH size,4p,0,0,0,0,0
ES,W13,3-School,HH size,5p,0,0,0,0,0
ES,W13,3-School,HH size,6p+,0,0,0,0,0
ES,W14,3-School,HH size,1p,0,0,0,0,0
ES,W14,3-School,HH size,2p,0,0,0,0,0
ES,W14,3-School,HH size,3p,0,0,0,0,0
ES,W14,3-School,HH size,4p,0,0,0,0,0
ES,W14,3-School,HH size,5p,0,0,0,0,0
ES,W14,3-School,HH size,6p+,0,0,0,0,0
ES,W13,4-Work,Sex,Females,0.707780526,0.177114753,0,0,0
ES,W13,4-Work,Sex,Males,0.671819104,0.217253231,0,0,0
ES,W14,4-Work,Sex,Females,0.544960843,0.09835487,0,0,0
ES,W14,4-Work,Sex,Males,0.976254631,0.276752523,0,0,0
ES,W13,4-Work,Age group,18-29y,0.725193075,0.400105305,0,0,0
ES,W13,4-Work,Age group,30-39y,1.066384867,0.485786603,0,0,0
ES,W13,4-Work,Age group,40-49y,0.539237748,0.239193639,0,0,0
ES,W13,4-Work,Age group,50-59y,1.231083563,0.335973451,0,0,0
ES,W13,4-Work,Age group,60y+,0.275204177,0.105937673,0,0,0
ES,W14,4-Work,Age group,18-29y,1.142458108,0.535072609,0,0,0
ES,W14,4-Work,Age group,30-39y,1.479859525,0.403704834,0,0,0
ES,W14,4-Work,Age group,40-49y,0.659869411,0.164484488,0,0,0
ES,W14,4-Work,Age group,50-59y,0.945468086,0.312215346,0,0,0
ES,W14,4-Work,Age group,60y+,0.120718305,0.048954853,0,0,0
ES,W13,4-Work,HH size,1p,1.233833888,0.505268216,0,0,0
ES,W13,4-Work,HH size,2p,0.564913301,0.225014465,0,0,0
ES,W13,4-Work,HH size,3p,0.650280362,0.179012906,0,0,0
ES,W13,4-Work,HH size,4p,0.603921833,0.400406023,0,0,0
ES,W13,4-Work,HH size,5p,0.45066666,0.19512389,0,0,0
ES,W13,4-Work,HH size,6p+,0.115786901,0.099394913,0,0,0
ES,W14,4-Work,HH size,1p,0.382073496,0.145726126,0,0,0
ES,W14,4-Work,HH size,2p,0.672032762,0.16918443,0,0,0
ES,W14,4-Work,HH size,3p,1.132315144,0.473629866,0,0,0
