RespondentID,agecat,household_N,conversation_N,language,conv_no_mask,date,natcat,place_of_contact
11448052982,45-54,4,0,FR,,26-Mar-20,,
11448061376,25-34,2,0,FR,,26-Mar-20,,
11448062250,25-34,2,1,FR,,26-Mar-20,,
11448064205,35-44,2,0,FR,,26-Mar-20,,
11448072518,35-44,3,10 ou plus,FR,,26-Mar-20,,
11448075306,25-34,1,0,FR,,26-Mar-20,,
11448079986,35-44,4,0,FR,,26-Mar-20,,
11448081364,35-44,3,0,FR,,26-Mar-20,,
11448091151,45-54,0,0,FR,,26-Mar-20,,
11448107553,45-54,0,0,FR,,26-Mar-20,,
11448109236,35-44,3,0,FR,,26-Mar-20,,
11448111613,55-64,0,0,FR,,26-Mar-20,,
11448114311,35-44,2,1,FR,,26-Mar-20,,
11448117335,45-54,0,0,FR,,26-Mar-20,,
11448138405,55-64,1,3,FR,,26-Mar-20,,
11448144521,35-44,4,0,FR,,26-Mar-20,,
11448146837,25-34,0,0,FR,,26-Mar-20,,
11448162648,35-44,3,5,FR,,26-Mar-20,,
11448174650,25-34,1,1,FR,,26-Mar-20,,
11448181940,45-54,2,0,FR,,26-Mar-20,,
11448188714,65-74,1,0,FR,,26-Mar-20,,
11448189550,35-44,0,0,FR,,26-Mar-20,,
11448190285,18-24,5 ou plus,2,FR,,26-Mar-20,,
11448194991,25-34,1,9-Jun,FR,,26-Mar-20,,
11448198323,55-64,1,2,FR,,26-Mar-20,,
11448253003,35-44,3,4,FR,,26-Mar-20,,
11448259553,25-34,0,0,FR,,26-Mar-20,,
11448263676,35-44,0,3,FR,,26-Mar-20,,
11448263739,45-54,2,0,FR,,26-Mar-20,,
11448266370,45-54,4,1,FR,,26-Mar-20,,
11448304152,35-44,5 ou plus,0,FR,,26-Mar-20,,
11448307613,35-44,0,3,FR,,26-Mar-20,,
11448311488,45-54,2,0,FR,,26-Mar-20,,
11448317751,18-24,4,1,FR,,26-Mar-20,,
11448349134,55-64,2,0,FR,,26-Mar-20,,
11448352475,65-74,1,0,FR,,26-Mar-20,,
11448359027,35-44,0,0,FR,,26-Mar-20,,
11448368647,35-44,3,0,FR,,26-Mar-20,,
11448374252,35-44,3,0,FR,,26-Mar-20,,
11448401376,35-44,3,4,FR,,26-Mar-20,,
11448401571,45-54,1,0,FR,,26-Mar-20,,
11448417111,65-74,1,0,FR,,26-Mar-20,,
11448417662,35-44,3,4,FR,,26-Mar-20,,
11448426376,45-54,2,0,FR,,26-Mar-20,,
11448436996,25-34,5 ou plus,0,FR,,26-Mar-20,,
11448446549,45-54,3,0,FR,,26-Mar-20,,
11448462576,45-54,2,1,FR,,26-Mar-20,,
11448474549,45-54,1,0,FR,,26-Mar-20,,
11448485023,55-64,2,2,FR,,26-Mar-20,,
11448489329,35-44,4,1,FR,,26-Mar-20,,
11448501623,45-54,0,1,FR,,26-Mar-20,,
11448503487,45-54,3,0,FR,,26-Mar-20,,
11448506319,35-44,5 ou plus,0,FR,,26-Mar-20,,
11448509962,45-54,2,0,FR,,26-Mar-20,,
11448516499,55-64,0,0,FR,,26-Mar-20,,
11448519779,45-54,2,5,FR,,26-Mar-20,,
11448535143,35-44,5 ou plus,2,FR,,26-Mar-20,,
11448535256,65-74,1,0,FR,,26-Mar-20,,
11448549151,45-54,5 ou plus,0,FR,,26-Mar-20,,
11448552752,55-64,0,1,FR,,26-Mar-20,,
11448559748,55-64,1,0,FR,,26-Mar-20,,
11448589081,55-64,3,0,FR,,26-Mar-20,,
11448590470,45-54,4,0,FR,,26-Mar-20,,
11448611922,55-64,0,0,FR,,26-Mar-20,,
11448613648,35-44,4,0,FR,,26-Mar-20,,
11448625447,35-44,4,0,FR,,26-Mar-20,,
11448630564,55-64,2,0,FR,,26-Mar-20,,
11448640539,55-64,5 ou plus,0,FR,,26-Mar-20,,
11448644150,25-34,3,0,FR,,26-Mar-20,,
11448644351,55-64,5 ou plus,0,FR,,26-Mar-20,,
11448684933,35-44,5 ou plus,0,FR,,26-Mar-20,,
11448690967,25-34,0,5,FR,,26-Mar-20,,
11448725952,45-54,5 ou plus,1,FR,,26-Mar-20,,
11448731857,45-54,0,0,FR,,26-Mar-20,,
11448734587,65-74,1,0,FR,,26-Mar-20,,
11448735459,45-54,1,0,FR,,26-Mar-20,,
11448739347,55-64,1,0,FR,,26-Mar-20,,
11448743891,25-34,2,0,FR,,26-Mar-20,,
11448743899,55-64,2,1,FR,,26-Mar-20,,
11448744774,35-44,1,0,FR,,26-Mar-20,,
11448761258,45-54,4,0,FR,,26-Mar-20,,
11448766852,35-44,5 ou plus,0,FR,,26-Mar-20,,
11448772030,75-84,0,0,FR,,26-Mar-20,,
11448773350,18-24,5 ou plus,1,FR,,26-Mar-20,,
11448816559,55-64,2,0,FR,,26-Mar-20,,
11448817709,55-64,2,0,FR,,26-Mar-20,,
11448825118,35-44,3,5,FR,,26-Mar-20,,
11448825593,35-44,3,1,FR,,26-Mar-20,,
11448830929,45-54,4,0,FR,,26-Mar-20,,
11448836585,45-54,4,0,FR,,26-Mar-20,,
11448837458,25-34,3,0,FR,,26-Mar-20,,
11448843008,45-54,0,0,FR,,26-Mar-20,,
11448848660,35-44,3,0,FR,,26-Mar-20,,
11448850271,25-34,3,2,FR,,26-Mar-20,,
11448856768,45-54,3,0,FR,,26-Mar-20,,
11448869886,45-54,2,1,FR,,26-Mar-20,,
11448876672,45-54,5 ou plus,5,FR,,26-Mar-20,,
11448882741,45-54,5 ou plus,0,FR,,26-Mar-20,,
11448892271,65-74,0,2,FR,,26-Mar-20,,
11448902413,35-44,4,0,FR,,26-Mar-20,,
11448903444,45-54,0,0,FR,,26-Mar-20,,
11448911210,18-24,1,1,FR,,26-Mar-20,,
11448917775,35-44,2,0,FR,,26-Mar-20,,
11448929705,45-54,0,0,FR,,26-Mar-20,,
11448931905,35-44,1,0,FR,,26-Mar-20,,
11448932022,35-44,3,1,FR,,26-Mar-20,,
11448942752,25-34,1,10 ou plus,FR,,26-Mar-20,,
11448946965,25-34,3,10 ou plus,FR,,26-Mar-20,,
11448949410,45-54,5 ou plus,0,FR,,26-Mar-20,,
11448957836,45-54,4,1,FR,,26-Mar-20,,
11448964256,45-54,0,1,FR,,26-Mar-20,,
11448980809,35-44,3,0,FR,,26-Mar-20,,
11448981946,45-54,1,9-Jun,FR,,26-Mar-20,,
11448992845,45-54,3,1,FR,,26-Mar-20,,
11448995097,45-54,2,0,FR,,26-Mar-20,,
11448996953,55-64,1,0,FR,,26-Mar-20,,
11449000320,35-44,4,0,FR,,26-Mar-20,,
11449005089,35-44,3,10 ou plus,FR,,26-Mar-20,,
11449015121,45-54,3,3,FR,,26-Mar-20,,
11449015389,25-34,2,0,FR,,26-Mar-20,,
11449027076,35-44,4,0,FR,,26-Mar-20,,
11449027763,55-64,3,0,FR,,26-Mar-20,,
11449036510,45-54,0,0,FR,,26-Mar-20,,
11449036916,35-44,0,1,FR,,26-Mar-20,,
11449043040,25-34,3,1,FR,,26-Mar-20,,
11449050491,45-54,3,0,FR,,26-Mar-20,,
11449062734,45-54,1,0,FR,,26-Mar-20,,
11449066190,18-24,2,0,FR,,26-Mar-20,,
11449070373,45-54,4,0,FR,,26-Mar-20,,
11449075488,35-44,3,0,FR,,26-Mar-20,,
11449075997,45-54,4,2,FR,,26-Mar-20,,
11449082375,45-54,3,0,FR,,26-Mar-20,,
11449094007,25-34,1,9-Jun,FR,,26-Mar-20,,
11449113627,55-64,1,0,FR,,26-Mar-20,,
11449126064,25-34,5 ou plus,10 ou plus,FR,,26-Mar-20,,
11449126086,25-34,1,2,FR,,26-Mar-20,,
11449126174,55-64,0,0,FR,,26-Mar-20,,
11449128292,45-54,4,1,FR,,26-Mar-20,,
11449134141,55-64,5 ou plus,0,FR,,26-Mar-20,,
11449137427,45-54,2,0,FR,,26-Mar-20,,
11449141231,55-64,1,1,FR,,26-Mar-20,,
11449149619,35-44,1,0,FR,,26-Mar-20,,
11449149712,45-54,2,0,FR,,26-Mar-20,,
11449160084,45-54,3,0,FR,,26-Mar-20,,
11449161697,55-64,1,0,FR,,26-Mar-20,,
11449173858,35-44,1,3,FR,,26-Mar-20,,
11449176067,45-54,2,1,FR,,26-Mar-20,,
11449176234,45-54,1,1,FR,,26-Mar-20,,
11449178569,55-64,2,0,FR,,26-Mar-20,,
11449183539,35-44,4,0,FR,,26-Mar-20,,
11449192372,35-44,0,4,FR,,26-Mar-20,,
11449212678,55-64,1,0,FR,,26-Mar-20,,
11449224591,45-54,3,0,FR,,26-Mar-20,,
11449225273,55-64,2,1,FR,,26-Mar-20,,
11449230504,55-64,1,0,FR,,26-Mar-20,,
11449240052,45-54,4,1,FR,,26-Mar-20,,
11449251575,45-54,5 ou plus,4,FR,,26-Mar-20,,
11449252484,25-34,2,0,FR,,26-Mar-20,,
11449260714,45-54,2,0,FR,,26-Mar-20,,
11449262992,55-64,2,0,FR,,26-Mar-20,,
11449267635,55-64,1,9-Jun,FR,,26-Mar-20,,
11449272417,65-74,2,0,FR,,26-Mar-20,,
11449276189,25-34,4,0,FR,,26-Mar-20,,
11449276401,45-54,1,0,FR,,26-Mar-20,,
11449279325,25-34,1,2,FR,,26-Mar-20,,
11449289536,25-34,5 ou plus,0,FR,,26-Mar-20,,
11449290586,45-54,0,2,FR,,26-Mar-20,,
11449293114,25-34,1,4,FR,,26-Mar-20,,
11449294364,35-44,5 ou plus,0,FR,,26-Mar-20,,
11449299612,35-44,2,0,FR,,26-Mar-20,,
11449300503,65-74,1,0,FR,,26-Mar-20,,
11449315118,65-74,0,1,FR,,26-Mar-20,,
11449316449,35-44,0,1,FR,,26-Mar-20,,
11449326167,35-44,1,0,FR,,26-Mar-20,,
11449338802,25-34,0,0,FR,,26-Mar-20,,
11449341051,35-44,3,0,FR,,26-Mar-20,,
11449343699,55-64,4,1,FR,,26-Mar-20,,
11449344851,45-54,4,0,FR,,26-Mar-20,,
11449348198,25-34,0,0,FR,,26-Mar-20,,
11449364804,45-54,3,0,FR,,26-Mar-20,,
11449365456,35-44,5 ou plus,2,FR,,26-Mar-20,,
11449371727,45-54,4,0,FR,,26-Mar-20,,
11449372894,35-44,1,1,FR,,26-Mar-20,,
11449378130,25-34,0,0,FR,,26-Mar-20,,
11449380840,35-44,4,1,FR,,26-Mar-20,,
11449387582,35-44,0,2,FR,,26-Mar-20,,
11449394959,45-54,2,10 ou plus,FR,,26-Mar-20,,
11449402083,45-54,2,10 ou plus,FR,,26-Mar-20,,
11449407676,35-44,2,0,FR,,26-Mar-20,,
11449407869,45-54,1,1,FR,,26-Mar-20,,
11449417281,45-54,3,0,FR,,26-Mar-20,,
11449422701,55-64,1,2,FR,,26-Mar-20,,
11449427651,45-54,2,1,FR,,26-Mar-20,,
11449440197,65-74,1,0,FR,,26-Mar-20,,
11449442583,45-54,2,0,FR,,26-Mar-20,,
11449446864,25-34,1,1,FR,,26-Mar-20,,
11449453273,45-54,3,2,FR,,26-Mar-20,,
11449461844,25-34,3,0,FR,,26-Mar-20,,
11449464174,45-54,1,0,FR,,26-Mar-20,,
11449466555,35-44,2,0,FR,,26-Mar-20,,
11449468372,45-54,1,0,FR,,26-Mar-20,,
11449479635,35-44,2,1,FR,,26-Mar-20,,
11449481496,55-64,2,3,FR,,26-Mar-20,,
11449485084,35-44,0,0,FR,,26-Mar-20,,
11449487486,35-44,4,0,FR,,26-Mar-20,,
11449493008,45-54,4,2,FR,,26-Mar-20,,
11449497006,25-34,0,0,FR,,26-Mar-20,,
11449504845,45-54,5 ou plus,0,FR,,26-Mar-20,,
11449505343,45-54,3,0,FR,,26-Mar-20,,
11449525192,45-54,1,1,FR,,26-Mar-20,,
11449529023,35-44,3,0,FR,,26-Mar-20,,
11449538612,55-64,1,1,FR,,26-Mar-20,,
11449539315,35-44,0,1,FR,,26-Mar-20,,
11449541052,45-54,4,0,FR,,26-Mar-20,,
11449548102,45-54,4,9-Jun,FR,,26-Mar-20,,
11449548396,55-64,2,1,FR,,26-Mar-20,,
11449553687,35-44,3,0,FR,,26-Mar-20,,
11449554615,35-44,2,0,FR,,26-Mar-20,,
11449574190,35-44,2,0,FR,,26-Mar-20,,
11449574663,45-54,2,3,FR,,26-Mar-20,,
11449580891,45-54,2,1,FR,,26-Mar-20,,
11449585782,25-34,3,0,FR,,26-Mar-20,,
11449596655,55-64,3,3,FR,,26-Mar-20,,
11449599983,35-44,2,0,FR,,26-Mar-20,,
11449609980,25-34,5 ou plus,3,FR,,26-Mar-20,,
11449613742,25-34,3,1,FR,,26-Mar-20,,
11449618279,65-74,2,0,FR,,26-Mar-20,,
11449622693,45-54,4,0,FR,,26-Mar-20,,
11449623626,35-44,1,0,FR,,26-Mar-20,,
11449632894,35-44,3,0,FR,,26-Mar-20,,
11449633756,35-44,2,0,FR,,26-Mar-20,,
11449645250,45-54,2,1,FR,,26-Mar-20,,
11449649850,25-34,1,0,FR,,26-Mar-20,,
11449650141,45-54,2,0,FR,,26-Mar-20,,
11449655744,35-44,3,0,FR,,26-Mar-20,,
11449662351,35-44,4,5,FR,,26-Mar-20,,
11449662696,55-64,1,0,FR,,26-Mar-20,,
11449663187,55-64,2,0,FR,,26-Mar-20,,
11449668788,35-44,3,0,FR,,26-Mar-20,,
11449672380,35-44,0,0,FR,,26-Mar-20,,
11449688708,35-44,2,1,FR,,26-Mar-20,,
11449695652,35-44,3,10 ou plus,FR,,26-Mar-20,,
11449703044,35-44,0,9-Jun,FR,,26-Mar-20,,
11449704199,65-74,2,5,FR,,26-Mar-20,,
11449706367,45-54,1,0,FR,,26-Mar-20,,
11449710101,55-64,1,0,FR,,26-Mar-20,,
11449711341,45-54,2,0,FR,,26-Mar-20,,
11449728057,75-84,0,0,FR,,26-Mar-20,,
